,Model,rating,user,time_of_review,review,title,user_address,user_type
146,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Momo,1month ago,The phone i recieved was in good condition but lets see if it has got it's shelf life covered or not in the coming years....so far it is in good state and is Superb! 😍😊👌,Very Good,Jamshedpur,Certified Buyer
147,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,3,Rofikul  Alam ,1month ago,Good,Good,Murshidabad District,Certified Buyer
148,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,TOTON BOSU,1month ago,ll is ok,Good quality product,Bankura,Certified Buyer
149,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Narayana Behera,1month ago,verything perfect with this affordable price,Highly recommended,Kendrapara,Certified Buyer
150,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Mohammad Ariz,1month ago,Samsung Best Device Ever,Just wow!,Aligarh,Certified Buyer
151,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,K V VIDHYA SAGAR,1month ago,Nice product...,Classy product,Anakapalle,Certified Buyer
152,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Flipkart Customer,2months ago,i like mobile very much,Really Nice,Pune,Certified Buyer
153,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Arabinda Ghosh,2months ago,Very good phone ....I love it....,Fabulous!,Kolkata,Certified Buyer
154,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Sandesh Vora,2months ago,Good performance ...good looks..feels premium in hand💯,Wonderful,Thane,Certified Buyer
155,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,MOHAN  KUMAR,2months ago,Very Smooth working with no hangs,Wonderful,New Delhi,Certified Buyer
156,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Mithilesh Kumar,2months ago,Very good product,Terrific purchase,Supaul District,Certified Buyer
157,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,2months ago,Nice,Highly recommended,Teliamura,Certified Buyer
158,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,2months ago,good,Terrific,Neyveli,Certified Buyer
